Name	TPM_Tb160_quant	TPM_Tb161_quant	TPM_Tb162_quant	TPM_Tb163_quant	TPM_Tb164_quant	TPM_Tb165_quant
KWMTBOMO12317.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.034851
KWMTBOMO12318.mrna1	0.000000	0.000000	0.022753	0.000000	0.034422	0.030595
MSTRG.10889.1	38.527709	70.700991	56.934672	52.999680	67.930963	93.746419
KWMTBOMO12319.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12320.mrna1	0.436739	0.359037	0.332009	0.000000	1.009362	0.320272
MSTRG.10890.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12321.mrna1	0.341300	0.157225	0.376681	2.717898	2.091715	3.112027
KWMTBOMO12322.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12323.mrna1	0.025604	0.000000	0.000000	0.000000	0.060712	0.209970
MSTRG.10893.1	0.000000	0.000000	0.000000	0.502751	0.000000	0.187239
KWMTBOMO12324.mrna1	0.856466	2.666872	3.337573	3.381034	2.551566	5.853890
MSTRG.10894.2	0.000000	0.010050	0.000000	0.000000	0.000000	0.000000
MSTRG.10894.1	0.468515	0.650365	0.699777	1.022823	1.034951	0.912170
MSTRG.10895.1	0.000000	0.000000	0.000000	0.000000	0.000000	2.770011
MSTRG.10895.2	2.152526	1.564688	1.267507	3.157504	3.555158	2.935105
MSTRG.10895.3	0.000000	0.617540	1.268677	2.174490	1.245959	0.000000
KWMTBOMO12325.mrna1	0.041476	0.035133	0.000000	0.000000	0.000000	0.079713
KWMTBOMO12326.mrna1	0.000000	0.000000	0.040582	0.089658	0.162023	0.000000
KWMTBOMO12327.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10922.1	0.945282	1.147130	1.267290	1.514331	1.454250	1.310742
MSTRG.10922.2	0.359694	0.000000	0.125294	0.000000	0.213983	0.387204
KWMTBOMO12328.mrna1	2.971107	2.682576	1.885695	6.517637	4.378645	5.507958
MSTRG.10922.3	0.060360	0.142233	0.125712	0.000000	0.080899	0.000000
MSTRG.10923.2	0.036721	0.037489	0.049193	0.104947	0.227516	0.257527
MSTRG.10923.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10923.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10923.4	0.000000	1.026290	0.377821	0.343801	1.022636	0.000000
MSTRG.10923.5	2.139649	2.843779	2.900856	0.000000	0.000000	0.000000
MSTRG.10923.6	0.000000	0.000000	0.000000	0.132138	0.197442	0.157139
KWMTBOMO12329.mrna1	2.598793	4.380573	3.691928	0.000000	0.000000	0.433818
KWMTBOMO12330.mrna1	0.000000	0.000000	0.000000	0.378070	0.256922	0.140743
KWMTBOMO12331.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10897.1	24.854007	24.808962	24.924020	87.628451	93.766223	70.032925
MSTRG.10897.2	18.130516	12.827377	12.645624	59.953912	54.663729	45.155107
KWMTBOMO12332.mrna1	484.859358	494.298214	479.031944	1506.672170	1500.609541	1221.543380
KWMTBOMO12333.mrna1	6.599274	6.795417	7.673705	27.100013	22.099676	24.460426
MSTRG.10900.2	0.000000	0.000000	0.000000	0.000000	2.360445	4.467228
MSTRG.10900.1	1.486308	1.718679	1.574346	5.399157	8.582449	1.106667
KWMTBOMO12334.mrna1	10.702682	9.318676	9.993524	25.532256	20.907999	32.722776
MSTRG.10900.3	8.498732	8.373075	7.744946	22.285340	15.272260	15.998324
MSTRG.10899.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10899.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12335.mrna1	0.000000	0.209149	0.140925	0.015940	0.062507	0.538453
MSTRG.10901.1	2.308561	1.876149	1.524575	6.299776	4.587456	4.121111
MSTRG.10902.1	0.858048	0.271420	1.246951	0.000000	0.680541	0.299957
MSTRG.10903.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10906.1	2.496433	0.000000	1.918451	0.557203	5.718167	0.761155
MSTRG.10907.1	1.263300	3.043013	2.914001	3.718087	4.065554	4.011482
KWMTBOMO12336.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12337.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12338.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12339.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12340.mrna1	0.000000	0.000000	0.000000	0.130265	0.000000	0.000000
KWMTBOMO12341.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10905.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10909.1	0.431084	0.193031	0.467706	0.237277	0.117826	0.189939
MSTRG.10908.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10910.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10913.1	6.273579	10.561194	6.313682	107.844656	120.104953	84.927303
KWMTBOMO12342.mrna1	3.292042	2.689007	4.054369	86.886331	104.078011	132.242173
MSTRG.10914.1	0.205995	0.154737	0.154432	0.698446	0.457402	1.012249
MSTRG.10911.1	4.037374	3.930795	0.702641	45.802327	70.493776	73.443932
KWMTBOMO12343.mrna1	0.367006	1.048733	0.523650	32.409949	37.314940	28.761064
KWMTBOMO12344.mrna1	0.000000	0.000000	0.376331	0.210213	0.262900	0.000000
MSTRG.10916.1	0.000000	0.000000	0.000000	0.000000	0.527057	0.000000
MSTRG.10917.1	1.410650	0.215586	1.842015	0.509413	2.511360	1.394321
KWMTBOMO12345.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10920.3	0.291503	0.000000	0.000000	0.513659	1.950832	0.000000
MSTRG.10920.2	1.203767	1.856942	2.163237	3.962578	3.633932	3.598700
MSTRG.10920.4	0.000000	0.428798	0.212071	0.280656	1.295565	1.584321
MSTRG.10920.5	1.884324	1.315645	1.869403	2.652455	0.000000	3.878332
MSTRG.10920.6	0.180763	0.508537	0.474716	0.177363	0.895465	0.592205
MSTRG.10918.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10919.1	0.000000	0.000000	0.195044	0.240724	0.000000	0.000000
KWMTBOMO12346.mrna1	0.000000	0.000000	0.000000	0.359801	0.268797	0.178901
MSTRG.10925.1	0.098868	0.046941	0.129319	0.052296	0.398131	0.290426
MSTRG.10925.2	0.381622	0.000000	0.000000	103.660328	70.954116	72.059482
MSTRG.10925.3	0.000000	0.182396	0.277823	4.007479	1.903241	2.963267
KWMTBOMO12347.mrna1	0.000000	0.000000	0.000000	55.961498	57.796754	205.437837
MSTRG.10924.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10926.1	3.955639	5.093186	3.308914	6.260887	5.552394	4.823906
MSTRG.10926.2	3.038231	2.914973	3.498409	5.335266	4.704223	7.633517
KWMTBOMO12348.mrna1	2.118493	1.053310	2.297944	3.623005	5.997810	7.655071
MSTRG.10926.4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10927.1	0.517607	0.519988	0.416579	0.662433	0.111195	0.211409
KWMTBOMO12349.mrna1	38.107152	32.123974	34.500269	44.903853	39.067280	37.322784
MSTRG.10928.1	3.255995	3.462987	2.727810	2.137809	1.569891	1.761107
MSTRG.10931.1	2.010222	1.097016	2.315422	7.256692	6.669866	8.751027
MSTRG.10931.3	0.000000	1.245225	0.000000	0.000000	1.167483	0.000000
MSTRG.10931.2	13.831090	15.791006	16.190985	41.754503	41.268092	51.301073
MSTRG.10931.4	1.801186	0.000000	0.754716	1.414683	0.000000	1.077179
KWMTBOMO12350.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10931.6	1.263471	1.039951	1.515934	2.559109	2.422775	4.013852
MSTRG.10932.1	1.232405	1.109026	1.383660	2.434225	3.160840	5.629220
KWMTBOMO12351.mrna1	0.000000	0.000000	0.000000	0.178244	0.000000	2.100317
MSTRG.10933.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12352.mrna1	8.938621	10.318281	10.444376	23.231965	24.037416	21.727816
MSTRG.10929.1	0.954609	0.358118	0.000000	0.000000	0.000000	0.000000
MSTRG.10936.1	2.561096	3.322173	3.349237	3.036305	2.408707	3.352824
MSTRG.10936.2	0.000000	0.000000	0.136928	0.000000	0.000000	0.521546
KWMTBOMO12353.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12354.mrna1	0.000000	0.000000	0.000000	0.681307	0.000000	0.000000
KWMTBOMO12355.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.464807
MSTRG.10934.1	1.108420	4.294182	0.000000	6.347536	5.643546	4.107126
KWMTBOMO12356.mrna1	0.654482	0.433470	0.987234	2.147490	0.987541	1.495052
KWMTBOMO12357.mrna1	5.080056	8.631433	7.932785	4.244034	8.213384	3.904702
MSTRG.10937.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12358.mrna1	0.264579	0.244082	0.000000	0.000000	0.209204	0.000000
MSTRG.10937.4	0.000000	0.000000	0.000000	0.063885	0.000000	0.295210
KWMTBOMO12359.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12360.mrna1	0.000000	0.000000	0.000000	0.530279	0.000000	0.000000
KWMTBOMO12361.mrna1	0.028864	0.000000	0.000000	0.029291	0.154136	0.308187
MSTRG.10938.1	9.402930	6.447266	5.762000	3.920267	8.707657	6.302586
MSTRG.10940.1	24.117687	26.995139	24.157555	80.414247	71.363308	60.971748
KWMTBOMO12362.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10942.1	0.120832	0.000000	0.038877	0.015919	0.000000	0.000000
KWMTBOMO12363.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10942.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10942.3	0.000000	0.177933	0.111486	0.000000	0.000000	0.000000
KWMTBOMO12364.mrna1	0.000000	0.000000	0.175565	0.143160	0.000000	0.000000
KWMTBOMO12365.mrna1	21.809539	26.438240	21.222468	20.825606	20.478145	20.308750
MSTRG.10941.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10941.2	0.000000	0.000000	0.029119	0.000000	0.000000	0.000000
KWMTBOMO12366.mrna1	0.000000	0.157607	0.000000	0.000000	0.000000	0.000000
MSTRG.10946.1	0.100961	0.054285	0.088270	0.096914	0.434075	0.170305
MSTRG.10946.2	0.542030	0.338687	0.571138	0.775127	0.500251	0.879844
MSTRG.10946.3	0.000000	0.082864	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12367.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10947.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10945.1	0.068183	0.041775	0.142817	0.000000	0.044719	0.049135
MSTRG.10948.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12368.mrna1	0.000000	0.000000	0.000000	0.000000	0.060768	0.000000
MSTRG.10948.2	0.000000	0.000000	0.077371	0.000000	0.000000	0.000000
KWMTBOMO12369.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.052397
MSTRG.10948.5	0.000000	0.118111	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12370.mrna1	0.533285	0.381516	0.575995	1.262521	1.779143	4.848247
MSTRG.10950.1	4.210437	6.261089	5.082554	7.704843	7.065259	5.703948
KWMTBOMO12371.mrna1	3.172717	5.539810	4.537439	6.089075	10.345708	13.165765
MSTRG.10950.2	0.000000	0.000000	0.000000	0.000000	0.000000	1.405177
MSTRG.10951.1	0.000000	0.000000	0.000000	0.000000	0.454060	0.000000
MSTRG.10951.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10951.2	0.000000	0.751665	0.000000	0.234101	0.000000	0.978533
KWMTBOMO12372.mrna1	10.658858	11.057976	12.068416	30.705241	26.262228	25.996805
KWMTBOMO12373.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.253607
MSTRG.10952.2	69.077584	67.125060	73.923438	1217.865845	1536.702414	1622.488144
MSTRG.10952.1	0.000000	0.000000	0.000000	0.177016	0.000000	0.000000
MSTRG.10952.3	22.287808	21.448953	25.765578	402.786735	466.656649	445.792444
