Name	TPM_Tb154_quant	TPM_Tb155_quant	TPM_Tb156_quant	TPM_Tb157_quant	TPM_Tb158_quant	TPM_Tb159_quant
KWMTBOMO00111.mrna1	0.000000	0.000000	0.000000	11.666854	12.894830	15.792034
MSTRG.528.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00112.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.536.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.537.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.541.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.541.2	0.000000	0.000000	0.000000	0.000000	0.126945	0.023920
MSTRG.541.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00113.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.538.1	0.088415	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.540.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.545.1	0.000000	0.000000	0.000000	1.234053	1.139976	0.683429
MSTRG.545.2	0.007654	0.000000	0.011167	2.635397	2.057595	2.099754
KWMTBOMO00114.mrna1	1.558323	1.536902	1.464118	1.140692	1.340109	1.024720
KWMTBOMO00115.mrna1	0.000000	0.000000	0.000000	0.474782	0.248243	0.000000
KWMTBOMO00116.mrna1	0.000000	0.032430	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00117.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00118.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.542.1	0.000000	0.000000	0.000000	3.330485	1.383965	0.000000
KWMTBOMO00119.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00120.mrna1	0.000000	0.000000	0.000000	0.000000	0.129298	0.044739
MSTRG.544.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.544.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00121.mrna1	0.000000	0.015985	0.022232	0.019358	0.049390	0.034165
MSTRG.543.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00122.mrna1	5.535165	5.826258	4.911189	1.217308	1.192280	1.980114
MSTRG.549.1	0.891552	1.043743	0.803398	0.414130	0.000000	0.242128
KWMTBOMO00123.mrna1	0.039389	0.023969	0.016671	0.014526	0.037072	0.076929
MSTRG.552.2	1.926721	0.422515	0.000000	0.000000	0.000000	0.000000
MSTRG.552.1	0.000000	0.000000	0.467576	0.000000	0.000000	0.000000
MSTRG.552.3	0.000000	0.718545	0.369875	0.000000	0.000000	0.000000
MSTRG.552.4	7.960517	7.883748	10.716948	0.611096	0.688593	0.480445
MSTRG.552.5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.552.9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.552.8	0.000000	0.949204	1.575003	0.000000	0.000000	0.000000
KWMTBOMO00124.mrna1	1.570446	0.000000	0.000000	0.148503	0.000000	0.000000
MSTRG.552.6	0.000000	0.703420	0.000000	0.219937	0.000000	0.391677
MSTRG.552.7	1.016002	0.604804	1.298394	0.000000	0.000000	0.000000
KWMTBOMO00126.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00125.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.556.1	0.082548	0.074403	0.348401	0.105862	0.055971	0.035156
MSTRG.556.2	0.182457	0.263741	0.000000	0.477026	0.533661	0.468266
MSTRG.557.1	0.038775	0.000000	0.000000	0.235329	0.191987	0.524339
