Name	TPM_Tb142_quant	TPM_Tb143_quant	TPM_Tb144_quant	TPM_Tb145_quant	TPM_Tb146_quant	TPM_Tb147_quant
MSTRG.18106.1	2.673961	3.238115	4.331149	3.260428	3.089193	7.053505
MSTRG.18101.1	1.648963	1.641975	3.552927	1.928371	2.436387	4.133590
MSTRG.18102.1	1.357610	1.395587	2.582309	2.191375	2.215922	3.531383
KWMTBOMO02331.mrna1	0.000000	0.000000	0.035834	0.000000	0.000000	0.000000
MSTRG.18108.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.219940
MSTRG.18110.1	0.021680	0.014418	0.022471	0.731444	0.735922	0.342182
MSTRG.18111.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.18112.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.18105.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.18107.1	0.000000	0.000000	0.000000	0.215684	0.142970	0.598838
MSTRG.18109.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO02332.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO02333.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO02334.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.18114.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO02335.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO02336.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO02337.mrna1	0.572016	0.356364	0.462807	0.401453	0.590138	0.395130
KWMTBOMO02338.mrna1	0.030434	0.048929	0.038074	0.000000	0.358204	0.420848
KWMTBOMO02339.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO02340.mrna1	0.000000	0.000000	0.018667	0.233899	0.244004	0.903744
KWMTBOMO02341.mrna1	0.046606	0.307592	0.398023	1.267417	3.116870	3.231903
MSTRG.18131.1	0.208888	0.175088	0.462955	3.157099	3.837031	6.559481
MSTRG.18131.2	0.307653	0.082776	0.127083	0.093824	0.034038	0.215740
MSTRG.18131.3	1.927879	2.020907	2.482797	3.263579	3.625420	4.566488
MSTRG.18131.4	0.491991	0.425870	0.430949	3.097602	2.517262	7.867761
MSTRG.18131.5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.18131.6	0.160489	0.142780	0.189915	0.184131	0.256223	1.052907
MSTRG.18131.7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO02342.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.18131.9	0.544891	0.000000	0.274446	0.406451	0.234460	1.761763
MSTRG.18132.1	3.398047	4.281838	6.377753	1.970625	2.010919	7.225208
MSTRG.18133.1	0.118423	0.047818	0.248728	0.162525	0.290188	0.869293
MSTRG.18131.10	0.030115	0.000000	0.125517	0.047962	0.000000	0.087092
MSTRG.18134.1	0.940370	0.000000	0.000000	3.314867	1.387099	1.768671
MSTRG.18135.3	0.924263	0.311100	1.800540	4.901653	6.546004	8.781193
MSTRG.18135.1	2.458985	2.393592	2.656042	4.970831	8.381687	11.257013
MSTRG.18135.2	0.759961	0.649525	1.000227	3.261556	4.588036	9.110092
MSTRG.18135.4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.18136.1	0.000000	0.000000	0.000000	0.175972	1.386437	0.581613
KWMTBOMO02343.mrna1	0.127301	0.356660	0.463829	0.408977	0.310768	0.700937
KWMTBOMO02344.mrna1	3.318333	2.641036	3.379477	7.571610	13.051500	13.941305
KWMTBOMO02345.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO02346.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.029032
MSTRG.18138.1	0.568675	0.469968	0.806982	0.614786	0.751192	1.376261
