Name	TPM_Tb166_quant	TPM_Tb167_quant	TPM_Tb168_quant	TPM_Tb169_quant	TPM_Tb170_quant	TPM_Tb171_quant
MSTRG.6911.1	0.299558	1.712245	0.549732	1.125762	0.873106	1.206058
KWMTBOMO09512.mrna1	4.467324	17.355622	9.591025	24.055256	20.845373	20.629433
MSTRG.6911.3	0.000000	0.526603	0.000000	0.740522	0.466010	0.255928
MSTRG.6911.4	0.000000	0.660218	0.276998	0.000000	0.171769	0.000000
KWMTBOMO09513.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO09514.mrna1	0.000000	0.132050	0.390991	0.143449	0.105662	0.225478
KWMTBOMO09515.mrna1	0.117647	0.102750	0.322396	0.513218	0.503768	0.371783
MSTRG.6910.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6912.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6913.1	10.852697	11.854971	11.610134	19.372628	16.150586	15.333468
KWMTBOMO09516.mrna1	69.767700	71.281946	74.985448	60.480101	56.257535	55.936901
MSTRG.6913.3	3.285762	3.886739	2.642904	3.776079	2.620842	1.709404
KWMTBOMO09517.mrna1	0.000000	0.000000	0.000000	0.221570	0.000000	0.221127
MSTRG.6926.1	8.761796	7.298338	11.399913	0.000000	0.000000	0.151004
MSTRG.6926.2	0.000000	0.000000	0.000000	0.266978	0.288462	0.000000
KWMTBOMO09518.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO09519.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO09520.mrna1	0.000000	0.000000	0.523746	0.000000	0.000000	0.000000
MSTRG.6914.1	213.793257	225.077320	196.386075	0.000000	0.000000	0.000000
KWMTBOMO09521.mrna1	0.000000	0.000000	0.000000	0.297879	0.000000	0.000000
MSTRG.6921.1	0.000000	0.427276	1.589229	2.598990	2.512713	3.431303
KWMTBOMO09522.mrna1	1.083676	1.206916	0.920409	5.213318	3.897672	4.457730
MSTRG.6924.1	0.000000	0.000000	0.557154	4.802391	4.211273	2.967407
KWMTBOMO09523.mrna1	0.000000	0.000000	0.000000	2.473836	2.036741	2.018005
MSTRG.6924.3	2.833187	3.730375	0.960444	0.145234	0.000000	0.000000
KWMTBOMO09524.mrna1	0.291223	0.254033	0.399966	0.000000	0.000000	0.000000
KWMTBOMO09525.mrna1	0.272392	0.118852	0.249205	0.118999	0.000000	0.143894
KWMTBOMO09526.mrna1	0.000000	0.436950	0.114320	0.109186	0.178780	0.000000
MSTRG.6928.1	2.018085	1.857232	2.110053	2.828744	2.924725	3.626711
MSTRG.6928.4	0.000000	0.000000	0.000000	0.000000	0.278685	0.000000
MSTRG.6928.3	0.340930	0.903627	5.385473	1.250791	1.235042	1.819663
