Name	rcount_Tb142_quant	rcount_Tb143_quant	rcount_Tb144_quant	rcount_Tb145_quant	rcount_Tb146_quant	rcount_Tb147_quant
MSTRG.1182.1	0.000	60.163	629.573	176.329	0.000	467.103
MSTRG.1182.2	332.089	358.389	0.000	344.281	527.667	358.903
MSTRG.1182.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1182.4	0.000	0.000	0.000	0.000	6.333	0.000
KWMTBOMO00535.mrna1	0.000	0.000	0.000	0.000	0.000	12.668
MSTRG.1182.6	108.911	84.392	137.429	81.347	0.000	162.332
KWMTBOMO00536.mrna1	0.000	0.000	0.000	0.000	1.000	0.000
MSTRG.1184.2	0.000	0.000	1.000	0.000	0.000	0.000
MSTRG.1185.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1183.1	3.416	6.096	5.018	5.616	8.234	6.796
MSTRG.1189.1	0.000	12.066	93.054	25.837	38.382	97.483
MSTRG.1189.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1189.3	28.733	0.000	20.394	6.800	8.664	11.763
MSTRG.1189.5	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1189.4	0.000	52.236	0.000	0.000	0.000	0.000
MSTRG.1189.6	0.000	0.000	0.000	0.000	0.000	36.249
MSTRG.1189.7	17.534	42.099	52.314	11.622	14.719	29.505
MSTRG.1189.9	12.430	0.000	11.979	18.741	2.235	0.000
MSTRG.1189.8	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1189.13	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00537.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1189.10	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1189.11	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1189.12	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1189.14	0.000	3.057	0.000	0.000	0.000	0.000
MSTRG.1189.16	8.303	3.541	21.333	0.000	0.000	0.000
MSTRG.1186.2	999.967	1859.727	1426.548	12.846	11.626	0.000
MSTRG.1186.1	193.991	441.559	613.780	0.000	4.374	2.963
MSTRG.1187.1	0.000	0.000	2.000	0.000	0.000	0.000
MSTRG.1187.2	5.000	5.000	0.000	0.000	0.000	0.000
MSTRG.1186.3	327.838	0.000	605.104	0.000	0.000	3.076
MSTRG.1186.4	64.520	0.000	0.000	0.000	0.000	23.421
MSTRG.1186.6	0.000	381.013	0.000	6.740	0.000	0.000
MSTRG.1186.5	2807.991	3043.280	3540.570	0.000	0.000	0.000
KWMTBOMO00538.mrna1	2048.992	3183.127	3690.951	8.414	0.000	6.541
MSTRG.1188.1	0.998	2.934	2.000	0.000	0.000	0.000
MSTRG.1197.1	0.000	2.210	2.727	4.419	0.000	0.000
KWMTBOMO00539.mrna1	19.704	22.394	54.770	13.829	21.201	72.293
MSTRG.1197.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.4	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.5	107.391	67.291	146.530	162.145	130.549	211.089
MSTRG.1197.6	0.000	27.766	23.302	31.630	0.000	85.461
MSTRG.1197.7	562.396	602.778	950.259	611.174	488.466	828.960
MSTRG.1197.9	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.10	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.8	2.317	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.11	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.12	0.000	0.000	22.559	0.000	0.000	20.585
MSTRG.1197.13	0.000	16.195	0.000	0.000	0.000	0.000
MSTRG.1197.14	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.15	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.17	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.16	0.000	0.000	13.959	5.823	0.000	6.402
MSTRG.1197.18	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.19	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1197.20	7.093	6.367	31.850	1.980	1.784	10.035
MSTRG.1198.1	0.000	3.620	2.289	0.000	0.000	0.000
MSTRG.1198.2	0.000	4.380	0.000	0.000	0.000	0.000
MSTRG.1195.1	0.000	10.001	0.000	3.609	0.000	1.782
MSTRG.1196.1	223.422	228.298	361.166	103.409	97.561	194.991
MSTRG.1196.2	21.317	34.363	148.515	17.334	0.000	20.056
MSTRG.1196.3	8.141	10.822	20.527	9.617	3.603	24.154
KWMTBOMO00540.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1196.5	5.000	11.392	13.000	9.064	7.000	7.055
KWMTBOMO00541.mrna1	85.914	113.129	138.003	62.466	53.357	99.947
MSTRG.1191.1	65.565	68.396	70.700	53.459	55.052	47.063
KWMTBOMO00542.mrna1	2.000	0.000	8.042	1.000	3.129	0.000
MSTRG.1192.2	0.000	11.000	9.958	2.000	2.871	5.000
KWMTBOMO00543.mrna1	0.000	2.000	0.000	1.000	3.000	2.000
MSTRG.1194.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1194.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1199.1	296.319	424.607	551.668	235.995	196.334	290.603
MSTRG.1199.2	430.054	605.174	587.458	325.245	258.666	378.405
KWMTBOMO00544.mrna1	19.631	26.345	44.999	0.000	0.000	0.000
MSTRG.1200.1	1.000	3.000	1.000	0.000	0.000	0.000
MSTRG.1201.1	2040.506	3173.070	3338.194	5.361	0.000	14.845
MSTRG.1201.2	1329.511	1995.795	2571.477	16.011	10.635	34.774
MSTRG.1201.3	345.270	336.840	424.459	0.000	7.997	10.678
MSTRG.1201.4	6683.808	8711.820	7226.377	71.725	0.000	129.962
KWMTBOMO00545.mrna1	2553.427	4322.612	5736.320	75.073	25.217	49.871
MSTRG.1201.6	637.958	1020.674	1111.505	164.831	193.155	92.513
MSTRG.1204.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1204.2	230.582	395.719	0.000	0.000	0.000	0.000
MSTRG.1204.5	268.429	286.937	216.104	48.499	57.516	108.684
MSTRG.1204.3	0.000	0.000	0.000	0.000	0.000	51.661
MSTRG.1204.6	24.664	0.000	283.076	0.000	21.879	0.000
MSTRG.1204.4	227.558	305.028	576.559	187.949	149.491	383.130
MSTRG.1204.7	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1204.8	0.000	0.000	0.000	37.142	0.000	0.000
MSTRG.1204.9	0.000	20.019	0.000	0.000	0.000	0.000
MSTRG.1204.11	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1204.10	0.000	4.741	0.000	0.000	0.000	0.000
MSTRG.1204.12	254.012	0.000	0.000	0.000	0.000	0.000
MSTRG.1204.13	0.000	0.000	34.382	23.429	0.000	42.198
MSTRG.1204.15	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1204.14	43.015	161.950	522.678	0.000	0.000	0.000
MSTRG.1204.17	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1204.16	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1204.20	140.127	177.953	126.410	0.000	59.114	0.000
MSTRG.1204.19	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1204.18	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1204.21	26.242	13.280	50.145	0.000	0.000	76.414
KWMTBOMO00546.mrna1	8.373	6.404	8.217	0.000	0.000	0.000
MSTRG.1205.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00547.mrna1	38.866	41.374	61.364	16.630	15.727	68.021
MSTRG.1207.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1208.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00548.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1202.1	1.000	2.000	0.000	2.000	3.000	4.000
MSTRG.1219.1	133.780	131.373	127.884	57.598	62.891	92.399
MSTRG.1219.2	44.085	48.422	14.747	0.000	0.000	45.048
MSTRG.1220.1	0.000	6.213	0.000	0.000	0.000	0.000
MSTRG.1220.2	133.082	200.248	201.311	160.471	144.571	180.063
KWMTBOMO00549.mrna1	48.918	88.538	56.689	60.525	45.429	83.937
MSTRG.1220.4	0.000	1.000	0.000	0.000	0.000	0.000
MSTRG.1219.3	56.012	105.995	250.859	96.972	101.268	174.853
KWMTBOMO00550.mrna1	67.384	60.113	133.837	36.143	32.325	52.845
MSTRG.1221.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00551.mrna1	144.000	228.003	169.008	7.000	3.000	9.000
MSTRG.1222.1	83.753	123.335	130.853	26.029	3.799	31.049
MSTRG.1222.2	210.968	191.722	212.149	0.000	7.201	128.315
KWMTBOMO00552.mrna1	13.283	33.943	95.998	0.000	0.000	28.637
KWMTBOMO00553.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1219.6	0.000	0.000	1.451	0.000	0.000	0.000
KWMTBOMO00554.mrna1	5.046	0.000	0.000	0.000	0.000	0.000
MSTRG.1223.1	4.000	3.000	2.000	3.000	2.000	1.000
KWMTBOMO00555.mrna1	0.000	1.000	0.000	0.000	1.000	3.000
KWMTBOMO00556.mrna1	15.284	0.000	1.607	33.000	0.000	64.000
MSTRG.1228.2	137.716	157.000	155.400	0.000	33.000	0.000
MSTRG.1229.1	0.000	0.000	0.000	0.000	21.538	67.568
MSTRG.1229.2	71.085	142.867	230.212	0.000	0.000	0.000
MSTRG.1229.3	29.776	33.957	0.000	0.000	0.000	0.000
MSTRG.1229.4	72.563	57.864	63.540	167.600	109.408	187.927
MSTRG.1229.5	158.630	159.228	288.770	45.226	0.000	117.887
MSTRG.1229.6	89.902	119.084	202.186	67.633	38.522	164.349
MSTRG.1229.7	0.000	0.000	0.000	0.000	0.000	69.388
MSTRG.1229.8	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1229.9	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1229.10	4.672	0.000	12.705	14.221	21.533	9.817
MSTRG.1229.11	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1229.12	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1229.14	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1229.13	0.000	0.000	87.921	0.000	0.000	0.000
KWMTBOMO00557.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1229.16	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1229.17	1.388	0.000	20.524	0.000	0.000	0.000
MSTRG.1229.18	0.000	0.000	0.000	0.000	0.000	4.064
MSTRG.1230.1	1.000	0.000	1.000	2.000	3.000	2.000
KWMTBOMO00558.mrna1	0.000	1.000	0.000	0.000	0.000	0.000
KWMTBOMO00559.mrna1	0.000	0.000	0.000	2.023	0.000	2.210
MSTRG.1232.1	0.000	0.000	2.000	7.000	0.000	13.000
KWMTBOMO00560.mrna1	36.173	14.644	0.000	0.000	0.000	5.555
KWMTBOMO00561.mrna1	10.003	0.000	0.000	0.000	0.000	7.033
MSTRG.1232.2	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00562.mrna1	1.000	0.000	0.000	0.000	1.000	0.000
KWMTBOMO00563.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00564.mrna1	0.000	0.000	0.000	0.000	0.000	1.000
KWMTBOMO00566.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00565.mrna1	5.674	6.495	11.887	0.000	0.000	0.000
MSTRG.1235.2	0.000	1.000	0.000	0.000	0.000	0.000
KWMTBOMO00567.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00568.mrna1	103.000	173.028	177.000	927.144	563.989	673.964
MSTRG.1210.1	0.000	0.000	0.000	0.000	0.000	1.000
MSTRG.1211.1	105.007	89.270	186.773	424.690	298.288	358.146
MSTRG.1212.1	0.000	0.000	0.000	0.000	2.000	0.972
MSTRG.1213.1	0.000	3.000	3.000	11.000	9.000	8.000
KWMTBOMO00569.mrna1	0.000	0.000	1.467	0.000	0.000	0.000
MSTRG.1215.1	0.000	4.533	8.611	7.390	8.931	8.529
KWMTBOMO00570.mrna1	2.191	22.227	19.882	0.000	2.827	23.463
KWMTBOMO00571.mrna1	0.000	0.000	4.688	0.000	0.000	0.000
KWMTBOMO00572.mrna1	34.516	34.721	59.869	83.380	48.565	85.987
MSTRG.1218.1	0.000	0.000	1.510	13.006	17.020	43.308
MSTRG.1226.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1226.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1226.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1226.4	0.000	2.000	0.000	0.000	0.000	0.000
MSTRG.1226.5	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1225.1	0.000	4.000	0.000	0.000	0.000	0.000
MSTRG.1224.1	0.000	0.000	2.002	0.000	0.000	0.000
MSTRG.1227.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00573.mrna1	0.000	4.074	0.000	0.885	1.912	1.939
MSTRG.1250.3	11325.646	11344.335	26953.368	0.000	0.000	338.664
MSTRG.1250.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1250.2	0.000	0.000	0.000	1432.672	1778.133	3510.451
MSTRG.1250.4	215.441	253.003	404.223	7834.242	6064.708	12699.324
MSTRG.1250.5	0.000	0.000	0.000	275.258	0.000	0.000
MSTRG.1250.6	0.000	0.000	0.000	0.000	0.000	346.922
MSTRG.1250.7	229.283	63.278	55.056	3030.260	2918.062	2007.658
