Name	rcount_Tb148_quant	rcount_Tb149_quant	rcount_Tb150_quant	rcount_Tb151_quant	rcount_Tb152_quant	rcount_Tb153_quant
KWMTBOMO16503.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.33.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.37.1	2.087	3.425	5.248	3.715	0.000	1.143
KWMTBOMO16504.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16505.mrna1	0.000	0.000	0.000	0.000	1.566	1.002
MSTRG.38.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.39.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16506.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16507.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16508.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.42.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16509.mrna1	26.750	17.314	12.926	21.751	20.822	39.821
KWMTBOMO16510.mrna1	0.000	0.000	0.000	11.656	0.000	0.000
MSTRG.44.1	31.543	19.486	15.574	26.035	23.998	22.099
MSTRG.44.2	0.000	19.377	12.654	20.286	8.305	12.109
KWMTBOMO16511.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16512.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16513.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16514.mrna1	0.000	0.000	1.077	0.000	0.000	0.000
MSTRG.46.1	0.000	0.000	0.000	0.000	7.704	0.000
KWMTBOMO16515.mrna1	0.000	0.000	0.000	0.000	0.000	1.045
MSTRG.47.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16516.mrna1	0.000	0.000	1.084	0.000	0.000	1.108
KWMTBOMO16517.mrna1	1.942	7.722	8.096	5.090	7.434	16.906
MSTRG.50.1	115.138	105.956	72.150	117.888	154.594	93.417
MSTRG.50.2	164.860	161.797	244.107	190.727	165.704	212.540
MSTRG.50.3	74.668	48.512	58.685	45.072	37.501	59.931
MSTRG.51.1	480.034	305.767	238.879	336.724	282.163	244.017
KWMTBOMO16518.mrna1	30.925	20.660	5.718	5.472	11.480	6.253
KWMTBOMO16519.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.52.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.52.2	0.000	4.717	0.000	0.000	2.495	2.724
MSTRG.52.3	0.000	0.000	0.000	0.000	1.127	0.000
KWMTBOMO16520.mrna1	18.453	6.925	9.396	13.200	17.663	7.385
MSTRG.53.1	59.000	90.000	102.000	66.000	99.000	72.000
MSTRG.60.1	51.700	33.149	72.223	76.332	180.414	118.893
MSTRG.60.3	84.269	76.114	84.897	48.587	0.000	124.860
MSTRG.60.2	100.408	144.086	125.792	114.871	142.022	117.571
KWMTBOMO16521.mrna1	17.145	0.000	8.382	5.727	4.902	11.029
MSTRG.55.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.54.1	3.897	3.946	6.945	2.140	1.016	0.000
MSTRG.56.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.57.1	17.613	16.198	16.531	35.899	19.318	6.888
MSTRG.59.1	0.000	1.000	0.000	0.000	0.000	0.000
KWMTBOMO16522.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.58.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16523.mrna1	0.000	0.000	1.000	0.000	0.000	0.000
KWMTBOMO16524.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.61.2	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16525.mrna1	14.019	22.773	22.685	12.537	6.664	6.854
KWMTBOMO16526.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.1	26.287	0.000	0.000	0.000	0.000	0.000
MSTRG.64.2	29.060	0.000	0.000	23.546	0.000	0.000
