Name	rcount_Tb160_quant	rcount_Tb161_quant	rcount_Tb162_quant	rcount_Tb163_quant	rcount_Tb164_quant	rcount_Tb165_quant
KWMTBOMO16502.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16503.mrna1	0.000	0.000	0.000	12.113	5.650	7.199
MSTRG.33.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.37.1	1.039	1.064	2.272	4.053	2.023	1.985
KWMTBOMO16504.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16505.mrna1	0.000	4.837	16.051	0.000	1.408	3.415
MSTRG.38.1	0.000	0.000	0.000	0.000	5.673	0.000
MSTRG.39.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16506.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16507.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16508.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.42.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16509.mrna1	6.189	13.330	5.913	10.838	13.866	10.062
KWMTBOMO16510.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.44.1	15.260	27.492	14.243	12.922	0.000	12.247
MSTRG.44.2	2.612	2.890	8.582	3.237	3.064	0.000
KWMTBOMO16511.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16512.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16513.mrna1	0.000	1.874	0.000	0.000	0.000	0.000
KWMTBOMO16514.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.46.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16515.mrna1	0.000	0.000	0.000	0.000	1.051	1.052
MSTRG.47.1	0.000	0.000	1.034	0.000	0.000	0.000
KWMTBOMO16516.mrna1	1.201	0.000	1.077	1.007	1.279	3.577
KWMTBOMO16517.mrna1	5.607	7.730	3.954	50.219	57.586	90.944
MSTRG.50.1	72.356	86.351	78.477	297.080	353.199	311.855
MSTRG.50.2	103.536	122.975	122.482	175.859	102.412	132.340
MSTRG.50.3	83.307	95.135	93.168	44.536	32.546	82.566
MSTRG.51.1	87.115	103.790	110.929	2248.357	1367.921	1797.425
KWMTBOMO16518.mrna1	12.520	5.382	19.920	464.686	320.461	509.041
