Name	rcount_Tb166_quant	rcount_Tb167_quant	rcount_Tb168_quant	rcount_Tb169_quant	rcount_Tb170_quant	rcount_Tb171_quant
MSTRG.20419.1	0.000	1.000	1.000	0.000	0.000	1.000
KWMTBOMO04117.mrna1	7.000	10.000	13.000	18.021	19.000	19.000
KWMTBOMO04118.mrna1	2.959	1.635	0.000	0.000	0.000	1.679
MSTRG.20422.2	1.041	4.365	4.000	17.000	12.001	14.313
MSTRG.20423.1	20.016	28.738	33.474	28.368	52.000	33.950
KWMTBOMO04119.mrna1	0.000	1.652	1.526	1.632	0.000	1.985
KWMTBOMO04120.mrna1	0.000	0.000	0.000	1.000	4.000	1.000
MSTRG.20420.1	12.059	18.050	29.071	46.603	55.985	40.723
KWMTBOMO04121.mrna1	0.000	0.000	1.120	2.787	9.802	2.405
MSTRG.20436.2	106.764	138.669	158.046	457.187	409.212	287.141
MSTRG.20437.1	5.224	6.532	11.062	7.964	9.230	5.967
MSTRG.20438.1	23.000	18.000	27.000	11.000	12.000	10.000
KWMTBOMO04122.mrna1	7.000	7.000	11.782	14.605	15.809	7.828
MSTRG.20440.1	21.564	17.000	31.000	39.566	38.038	25.000
KWMTBOMO04123.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO04124.mrna1	3.345	1.985	0.000	0.000	1.000	0.000
MSTRG.20442.2	6.944	10.087	2.051	7.958	0.000	6.596
MSTRG.20442.1	1.492	2.913	3.949	7.050	6.000	1.404
MSTRG.20443.1	12.559	15.948	27.418	4.322	4.587	4.922
MSTRG.20443.2	0.000	4.659	0.000	4.673	3.207	3.031
MSTRG.20444.1	4.000	6.019	2.606	4.688	3.006	5.684
MSTRG.20445.1	8.088	6.093	10.209	19.197	24.867	21.779
MSTRG.20426.1	32.000	49.767	59.760	56.832	65.575	51.000
KWMTBOMO04125.mrna1	15.747	21.507	49.883	17.798	20.321	16.768
MSTRG.20425.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.20428.1	7.004	5.002	3.136	6.969	20.537	8.046
MSTRG.20429.1	0.000	0.000	1.000	0.000	0.000	1.000
MSTRG.20430.1	0.000	0.000	1.000	1.000	1.000	0.000
MSTRG.20431.1	8.969	16.663	10.429	14.153	13.053	20.374
KWMTBOMO04126.mrna1	3.021	3.075	4.156	3.894	9.270	2.044
MSTRG.20433.1	0.000	0.000	0.000	3.002	0.956	0.000
MSTRG.20434.1	0.000	0.000	2.000	2.000	3.000	1.000
MSTRG.20435.1	7.509	5.433	9.587	12.399	18.145	6.493
KWMTBOMO04127.mrna1	0.000	0.000	0.000	3.855	0.000	0.000
MSTRG.20435.3	2.483	8.310	11.819	16.488	12.891	11.088
MSTRG.20447.1	79.514	76.999	118.728	148.614	158.033	96.797
KWMTBOMO04128.mrna1	1.000	0.000	0.000	0.000	0.000	1.900
MSTRG.20447.3	7.943	10.325	15.361	14.326	21.738	12.588
MSTRG.20448.1	3.000	2.361	2.163	5.987	3.157	5.990
MSTRG.20449.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.20450.1	25.900	36.648	34.822	154.980	134.005	94.562
MSTRG.20451.1	73.849	39.440	60.049	118.797	169.792	107.690
MSTRG.20451.2	3.166	33.466	19.559	72.757	54.825	21.903
MSTRG.20451.3	9.896	13.431	0.000	31.913	91.154	19.397
MSTRG.20451.4	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.20451.5	190.792	194.814	117.766	313.185	357.646	190.081
MSTRG.20451.6	81.526	36.806	85.381	173.968	222.576	218.164
KWMTBOMO04129.mrna1	266.547	291.064	348.677	858.503	891.754	741.873
MSTRG.20451.7	198.963	265.116	160.743	409.627	284.798	232.535
MSTRG.20451.8	0.000	11.837	0.000	4.476	49.158	24.962
KWMTBOMO04130.mrna1	33.000	18.000	22.155	6.000	0.000	0.000
MSTRG.20452.1	1.000	0.000	1.004	4.293	2.000	0.000
KWMTBOMO04131.mrna1	165.090	185.313	355.046	442.609	458.589	288.000
KWMTBOMO04132.mrna1	642.621	736.561	851.417	2090.573	2347.672	1448.575
MSTRG.20454.1	130.406	164.215	146.330	475.850	533.611	362.252
MSTRG.20463.1	124.748	109.762	64.788	283.620	252.442	92.172
MSTRG.20463.2	217.477	252.518	296.157	0.000	31.921	135.260
MSTRG.20463.3	5.026	18.182	6.832	117.875	93.829	49.534
KWMTBOMO04133.mrna1	314.887	406.243	425.118	367.795	395.682	291.505
MSTRG.20456.1	163.504	207.084	191.802	132.116	151.824	98.779
KWMTBOMO04134.mrna1	552.432	585.682	564.515	234.524	285.705	203.228
KWMTBOMO04135.mrna1	0.000	0.000	10.000	0.000	17.304	0.000
MSTRG.20459.2	17.000	14.000	0.000	81.929	76.696	53.000
KWMTBOMO04136.mrna1	0.000	0.000	0.000	1.000	0.000	2.000
MSTRG.20457.1	0.000	0.000	1.000	0.000	0.000	0.000
KWMTBOMO04137.mrna1	0.000	0.000	0.000	3.000	0.000	1.000
MSTRG.20460.1	5.000	2.000	3.000	3.082	0.000	0.000
MSTRG.20461.1	0.000	2.000	0.000	0.000	0.000	1.124
KWMTBOMO04138.mrna1	26.000	22.000	23.000	59.000	53.169	33.055
KWMTBOMO04139.mrna1	5.867	0.000	8.945	7.773	0.000	0.000
MSTRG.20466.1	4.077	9.591	3.399	8.787	9.983	5.007
KWMTBOMO04140.mrna1	214.493	228.670	197.107	303.601	398.497	272.120
MSTRG.20471.2	180.249	248.601	194.533	437.803	452.522	284.102
MSTRG.20471.3	138.201	206.087	307.985	76.541	77.189	30.526
KWMTBOMO04141.mrna1	44.310	0.000	0.000	0.000	0.000	0.000
MSTRG.20471.5	46.210	69.677	84.586	14.696	9.200	25.996
MSTRG.20471.6	85.996	0.000	7.386	0.000	2.718	2.321
MSTRG.20467.1	0.000	0.000	1.000	0.000	2.000	6.000
MSTRG.20468.1	18.000	19.000	14.000	0.000	0.000	0.000
MSTRG.20469.1	0.000	0.000	0.000	0.000	0.000	2.479
KWMTBOMO04142.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.20470.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO04143.mrna1	0.000	0.000	0.000	1.258	4.119	1.041
MSTRG.20472.2	2285.458	3515.615	845.197	6917.012	6788.224	4660.731
MSTRG.20472.3	6720.117	7124.843	8736.977	2004.633	3324.664	2213.336
MSTRG.20472.1	0.000	39.644	101.560	0.000	37.513	0.000
KWMTBOMO04144.mrna1	5675.167	6390.338	7349.630	5276.919	5810.949	3803.957
MSTRG.20473.1	34.074	56.015	24.866	116.056	76.847	60.726
KWMTBOMO04145.mrna1	449.967	579.518	460.170	769.518	957.530	685.056
MSTRG.20474.1	190.356	195.830	203.835	439.868	414.276	282.874
MSTRG.20474.2	39.917	46.411	25.136	246.640	290.641	181.966
KWMTBOMO04146.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO04147.mrna1	0.000	0.000	1.989	1.909	0.000	2.001
MSTRG.20474.6	5.295	7.623	6.722	46.576	33.665	18.624
MSTRG.20474.5	4.234	3.246	5.577	30.341	41.801	19.533
KWMTBOMO04148.mrna1	0.000	0.000	1.000	0.000	0.000	0.000
MSTRG.20475.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO04149.mrna1	2.000	1.000	5.000	6.000	15.001	7.000
KWMTBOMO04150.mrna1	3.482	0.000	2.755	0.000	7.190	0.000
KWMTBOMO04151.mrna1	983.067	1078.914	1013.914	1567.174	1476.951	1199.025
MSTRG.20479.1	883.774	921.963	963.036	1052.847	1027.633	828.670
MSTRG.20479.2	6.481	0.000	13.998	27.665	7.318	12.240
KWMTBOMO04152.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO04153.mrna1	44.890	45.604	79.711	54.145	57.127	39.089
MSTRG.20478.1	25.506	42.110	27.471	2.841	4.778	4.778
MSTRG.20478.2	15.494	16.991	32.596	7.952	3.222	3.222
MSTRG.20480.1	252.957	139.005	169.342	105.803	273.796	110.575
MSTRG.20480.2	277.803	165.598	274.040	187.097	272.696	181.865
KWMTBOMO04154.mrna1	234.327	192.461	278.801	22.759	0.000	11.521
MSTRG.20480.4	6.672	26.186	4.927	0.000	23.955	0.000
MSTRG.20480.5	0.000	275.554	238.244	616.070	355.153	370.848
KWMTBOMO04155.mrna1	987.813	1034.768	1035.093	678.378	791.191	546.410
KWMTBOMO04156.mrna1	73.023	81.225	91.889	232.341	275.215	194.638
MSTRG.20483.1	0.000	4.000	1.000	0.000	1.000	0.000
MSTRG.20482.2	14.323	19.782	12.111	43.317	42.917	29.376
KWMTBOMO04157.mrna1	358.426	420.701	384.666	367.282	483.023	314.264
KWMTBOMO04158.mrna1	1144.461	1254.722	1569.948	1581.838	1540.381	1126.873
MSTRG.20486.1	25.737	23.565	31.661	83.376	89.160	73.355
KWMTBOMO04159.mrna1	142.000	151.011	139.013	437.312	467.864	318.000
MSTRG.20488.1	8.000	9.000	6.000	1.051	6.000	5.998
MSTRG.20489.1	11.000	6.000	11.932	3.000	0.000	0.000
KWMTBOMO04160.mrna1	0.000	0.000	0.000	0.000	1.000	0.000
KWMTBOMO04161.mrna1	4.000	4.000	2.068	1.000	3.000	2.000
MSTRG.20493.1	39.773	25.714	59.034	97.644	173.093	67.305
MSTRG.20493.4	1.206	0.000	0.000	4.826	4.049	9.078
MSTRG.20493.3	0.000	0.000	0.000	0.000	0.000	6.702
MSTRG.20493.2	0.000	20.399	0.000	142.743	67.337	80.147
KWMTBOMO04162.mrna1	13.021	24.890	33.966	115.737	82.526	93.822
MSTRG.20494.1	241.028	258.080	112.422	278.908	408.276	235.534
MSTRG.20495.1	10.000	15.000	13.000	5.000	0.000	1.000
MSTRG.20496.1	0.000	1.000	1.000	2.368	0.000	0.000
MSTRG.20497.1	18.783	13.087	24.370	0.000	0.000	0.000
MSTRG.20497.2	10.000	8.000	11.458	0.000	0.000	0.000
MSTRG.20497.3	38.074	51.966	67.750	49.515	55.565	27.703
KWMTBOMO04163.mrna1	0.000	0.000	0.000	2.000	0.000	0.000
MSTRG.20499.1	34.976	35.340	45.886	91.969	79.450	64.217
KWMTBOMO04164.mrna1	2.000	1.000	0.000	1.000	0.000	0.000
KWMTBOMO04165.mrna1	561.298	664.221	646.097	508.834	561.947	467.424
MSTRG.20494.2	48.350	0.000	22.973	214.263	120.760	18.273
MSTRG.20502.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.20494.3	426.488	667.671	788.337	1935.606	2053.801	1614.688
MSTRG.20502.2	118.110	147.807	90.741	241.884	281.772	240.989
MSTRG.20502.3	0.000	5.324	0.000	0.000	3.766	0.000
KWMTBOMO04166.mrna1	8.049	27.460	15.841	101.448	140.457	88.325
KWMTBOMO04167.mrna1	29.783	46.651	74.415	181.021	162.214	96.324
MSTRG.20504.1	25.303	21.644	29.511	58.323	36.127	26.310
MSTRG.20494.5	76.344	0.000	143.233	337.085	266.282	177.673
KWMTBOMO04168.mrna1	1540.991	1979.391	1511.428	4755.021	5996.211	4130.406
KWMTBOMO04169.mrna1	7.574	9.033	19.074	13.217	15.365	14.528
MSTRG.20491.2	425.457	430.176	418.564	793.311	890.296	551.712
MSTRG.20492.1	10.718	13.531	14.784	13.361	15.987	11.794
KWMTBOMO04170.mrna1	366.542	428.400	407.909	1264.518	1986.327	1293.109
MSTRG.20506.1	123.116	173.269	190.315	476.824	455.970	365.735
MSTRG.20506.3	15.622	18.197	12.563	136.604	211.737	95.066
