Name	rcount_Tb154_quant	rcount_Tb155_quant	rcount_Tb156_quant	rcount_Tb157_quant	rcount_Tb158_quant	rcount_Tb159_quant
KWMTBOMO06414.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06415.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2710.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2712.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2712.2	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06416.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2711.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06417.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2718.1	15.333	6.211	11.832	58.103	26.007	74.567
MSTRG.2718.2	0.000	0.000	0.000	0.000	18.993	11.764
KWMTBOMO06418.mrna1	4.729	5.393	4.981	12.318	0.000	23.036
KWMTBOMO06419.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06420.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06421.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2721.1	867.581	824.474	678.816	321.069	203.512	320.465
MSTRG.2721.2	143.875	163.526	179.184	58.931	86.488	164.535
MSTRG.2721.3	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06422.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06423.mrna1	0.000	0.000	0.000	1.000	0.000	0.000
KWMTBOMO06424.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06425.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2722.1	176.691	131.950	155.748	146.997	115.001	168.995
MSTRG.2723.1	30394.268	32451.025	23374.681	7837.399	5267.998	7112.109
MSTRG.2724.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06426.mrna1	3.000	5.000	6.761	0.000	1.000	4.000
MSTRG.2725.1	0.000	0.000	0.000	0.000	0.000	0.000
